1267	-	162	gene_antisense	1000	1000	1000	1000
1935	+	404	gap_sense	1000	1000	1000	1000
5183	+	1442	gap_sense	1000	1000	1000	1000
8207	-	315	gene_antisense	907	1000	1000	1000
12486	+	1532	gene_sense	1000	1000	1000	1000
14914	+	261	gene_sense_leadless	822	829	1000	1000
17599	+	56	gene_antisense	1000	1000	1000	1000
19032	-	724	gene_sense	1000	1000	1000	1000
27579	+	89	gap_sense	1000	658	1000	1000
31078	+	218	gap_sense	1000	895	979	889
32057	+	218	gene_sense_leadless	979	90	1000	1000
41307	+	720	gene_sense_leadless	1000	73	1000	1000
42351	-	322	gene_sense_leadless	1000	1000	1000	1000
50565	+	5121	gene_antisense	1000	1000	1000	1000
51782	-	3726	gap_sense	1000	1000	1000	1000
51981	+	1105	gene_antisense	1000	1000	829	1000
52810	+	834	gap_sense	829	1000	1000	1000
58114	+	3131	gap_sense	1000	1000	1000	1000
60282	+	434	gene_sense	1000	1000	1000	1000
63562	-	97	gene_antisense	307	1000	1000	1000
65539	-	3046	gap_sense	1000	1000	1000	1000
65675	+	356	gene_sense	1000	136	1000	1000
68417	+	776	gap_sense	1000	1000	1000	1000
69432	+	181	gene_sense	1000	1000	1000	1000
79310	-	1611	gap_sense	1000	1000	1000	1000
80621	+	342	gene_sense_leadless	384	1000	1000	1000
86459	+	93	gene_antisense	1000	899	1000	1000
88164	+	3264	gap_sense	1000	1000	1000	1000
89535	+	390	gap_sense	1000	1000	1000	1000
92203	+	507	gene_sense	1000	1000	1000	1000
92825	+	34	gene_sense	622	1000	1000	1000
94547	+	103	gene_sense	1000	1000	1000	1000
96978	+	213	gene_sense	1000	1000	1000	1000
99619	+	101	gap_sense	248	1000	896	1000
103522	-	95	gene_sense	1000	1000	1000	1000
108294	+	227	gene_sense	1000	1000	1000	1000
110560	-	2575	gene_antisense	1000	1000	1000	1000
112259	-	141	gene_antisense	1000	633	1000	1000
117711	+	265	gene_sense_leadless	1000	103	1000	1000
122196	-	403	gap_sense	1000	1000	1000	1000
123207	-	506	gene_antisense	1000	1000	1000	1000
130564	-	162	gap_sense	774	561	1000	1000
131125	-	4222	gap_sense	1000	1000	1000	1000
131338	+	65	gap_sense	1000	213	1000	1000
133843	+	188	gap_sense	930	1000	1000	1000
136141	+	137	gap_sense	1000	1000	1000	1000
137691	-	114	gene_antisense	1000	1000	1000	1000
139705	+	2020	gap_antisense	1000	1000	1000	1000
141052	-	466	gap_sense	1000	1000	1000	1000
146306	-	80	gene_sense	1000	1000	1000	1000
151073	+	285	gap_sense	1000	1000	1000	1000
151127	-	106	gap_antisense	1000	1000	1000	1000
155665	+	64	gene_sense_leadless	962	690	1000	1000
157655	-	2106	gap_sense	1000	1000	1000	1000
157828	+	151	gap_sense	1000	173	1000	1000
159668	-	186	gap_sense	606	1000	1000	1000
161766	+	731	gap_sense	373	1000	1000	1000
163314	-	506	gap_sense	1000	1000	1000	1000
171213	+	1463	gene_sense_leadless	730	1000	1000	1000
173229	+	587	gap_sense	1000	1000	1000	1000
183208	-	237	gap_sense	371	1000	1000	1000
183579	+	308	gap_sense	1000	371	1000	1000
186649	-	1207	gap_sense	1000	1000	1000	1000
193669	+	1965	gene_sense	1000	1000	1000	1000
199503	-	214	gene_antisense	1000	1000	1000	1000
202826	-	131	gene_antisense	1000	101	1000	1000
206647	+	1482	gene_sense	1000	1000	1000	1000
207168	+	327	gene_sense	521	560	1000	1000
208326	+	327	gene_sense	1000	1000	1000	1000
210815	-	716	gap_sense	1000	1000	1000	1000
211323	+	177	gene_antisense	1000	508	1000	1000
212270	-	120	gap_sense	1000	1000	947	831
214967	+	267	gene_sense_leadless	882	389	1000	1000
218709	+	122	gene_sense	696	97	1000	1000
219427	+	1233	gap_sense	1000	815	1000	1000
221817	+	2115	gap_sense	1000	1000	1000	1000
223578	+	578	gene_sense	1000	1000	1000	1000
236507	-	292	gene_sense_leadless	1000	1000	1000	1000
238559	-	327	gene_sense	1000	51	1000	1000
238897	-	2086	gene_sense	1000	1000	1000	1000
241436	+	447	gap_sense	1000	101	1000	1000
243214	-	444	gene_sense_leadless	1000	1000	1000	1000
243384	+	142	gene_sense_leadless	1000	170	1000	1000
244635	+	418	gene_antisense	1000	1000	1000	1000
251676	+	286	gap_sense	1000	1000	1000	1000
262812	+	900	gene_sense_leadless	1000	1000	1000	1000
273041	-	59	gap_sense	1000	1000	1000	1000
273121	+	72	gene_sense	1000	80	1000	1000
274904	-	603	gene_sense_leadless	1000	1000	1000	1000
276025	+	225	gap_sense	1000	62	1000	1000
277453	-	81	gene_antisense	423	1000	1000	1000
277876	+	856	gap_sense	1000	1000	1000	1000
284119	+	626	gene_antisense	1000	1000	1000	1000
285210	+	261	gene_antisense	1000	1000	1000	1000
287186	+	174	gene_sense_leadless	1000	70	1000	1000
292134	+	698	gap_sense	1000	1000	1000	1000
295712	-	270	gap_sense	254	1000	1000	1000
295966	+	399	gap_sense	1000	254	1000	1000
298918	+	506	gene_antisense	1000	1000	1000	1000
301683	-	578	gap_sense	1000	1000	1000	1000
302710	-	2951	gap_sense	1000	1000	1000	1000
302866	+	199	gene_sense_leadless	1000	156	1000	1000
308923	+	827	gene_antisense	1000	1000	1000	916
309839	-	299	gene_antisense	1000	425	916	1000
314854	-	109	gene_sense_leadless	1000	1000	1000	1000
316439	-	402	gap_sense	1000	1000	1000	1000
317503	-	120	gene_sense_leadless	1000	448	1000	1000
324567	+	754	gene_sense_leadless	1000	1000	1000	1000
325776	+	109	gene_sense	1000	1000	1000	1000
328499	-	245	gap_sense	604	1000	1000	1000
333421	-	4652	gap_sense	1000	1000	1000	1000
349556	+	38	gene_sense	1000	1000	1000	1000
358074	-	164	gap_sense	1000	1000	1000	1000
359748	-	86	gene_sense_leadless	1000	1000	1000	1000
361265	+	1371	gap_sense	1000	1000	1000	1000
363252	+	3624	gene_sense_leadless	1000	1000	1000	1000
364523	+	837	gap_sense	1000	1000	1000	1000
375749	-	264	gap_sense	1000	1000	1000	1000
377113	+	377	gene_sense_leadless	1000	1000	818	1000
377931	+	674	gene_sense_leadless	818	1000	1000	1000
380522	+	574	gap_sense	1000	1000	1000	1000
382471	+	1539	gap_sense	1000	1000	1000	1000
383608	+	392	gene_sense	1000	1000	1000	1000
385967	-	207	gap_sense	1000	1000	1000	1000
388582	+	222	gene_sense_leadless	694	1000	1000	1000
390340	+	208	gene_sense	1000	1000	972	1000
394111	+	261	gene_sense_leadless	1000	1000	1000	1000
398254	+	217	gene_sense_leadless	782	1000	1000	1000
400695	+	295	gene_sense	1000	1000	1000	1000
405887	-	1730	gap_sense	1000	1000	1000	1000
409311	+	2141	gap_sense	1000	1000	1000	1000
410874	+	82	gene_sense	1000	1000	1000	1000
412695	+	207	gene_sense	402	1000	1000	1000
415044	+	176	gap_sense	1000	1000	1000	1000
417026	-	477	gap_sense	1000	1000	1000	1000
418889	-	206	gene_antisense	824	894	1000	1000
422404	+	360	gene_sense	1000	1000	1000	1000
424645	+	94	gene_antisense	477	1000	1000	1000
427999	+	188	gene_antisense	1000	1000	1000	1000
434763	-	162	gap_sense	207	1000	1000	1000
436826	-	186	gap_sense	1000	1000	1000	1000
437519	+	92	gene_sense_leadless	1000	693	1000	1000
438791	+	468	gap_sense	1000	1000	1000	1000
442396	+	534	gene_sense_leadless	1000	70	1000	1000
445260	-	268	gap_sense	1000	1000	1000	1000
455978	+	828	gene_sense_leadless	1000	1000	1000	1000
457027	+	424	gene_antisense	1000	1000	1000	1000
459317	-	1234	gap_sense	1000	1000	1000	1000
462134	+	111	gap_sense	1000	1000	1000	1000
463607	+	330	gene_sense	212	1000	1000	1000
469594	+	239	gene_sense_leadless	1000	1000	1000	1000
474380	-	249	gene_sense	1000	1000	1000	1000
476361	+	1553	gap_sense	1000	1000	1000	1000
486978	+	159	gene_sense	1000	1000	1000	1000
499749	+	314	gene_sense	1000	1000	1000	1000
501054	+	211	gap_sense	1000	1000	1000	1000
503498	+	389	gap_sense	1000	1000	1000	1000
505054	+	318	gap_sense	1000	1000	1000	1000
507043	-	114	gap_sense	1000	1000	1000	1000
510453	+	133	gene_antisense	1000	128	1000	1000
515861	-	915	gap_sense	1000	76	1000	1000
516899	-	58	gene_sense	1000	1000	1000	962
518663	+	1499	gap_sense	1000	1000	1000	1000
519603	+	1019	gene_sense_leadless	507	1000	1000	1000
526145	+	241	gap_antisense	1000	56	1000	1000
527363	-	89	gene_sense_leadless	1000	954	1000	1000
528429	+	873	gap_sense	1000	1000	1000	1000
532758	+	744	gene_sense	1000	1000	1000	1000
